TF,Target,importance,correlation,p_value
ALDOA,ABCD2,0.7586478323896759,0.7586478323896759,1.0631883302529459e-38
AGPAT2,ABCC6P1,0.7585541700720523,0.7585541700720523,1.099145119365934e-38
ADIPOQ,ABCC6P1,0.7578866728500626,0.7578866728500626,1.3925400617951715e-38
ACTG1,ABCC2,0.7574605446792908,0.7574605446792908,1.6189393735807537e-38
ADIRF,ABCA10,0.7574021644105062,0.7574021644105062,1.6526584020075435e-38
CD36,ABCC6P1,0.7561173319755863,0.7561173319755863,2.5975875697401003e-38
ACSL1,ABCC6P1,0.7547297923651043,0.7547297923651043,4.219799067875324e-38
ADH1B,ABCC6P1,0.7542786999135345,0.7542786999135345,4.937364908914199e-38
ACTG1,ABCC1,0.753609785949562,0.753609785949562,6.22817649122114e-38
ACSL1,A2MP1,0.7523091394241295,0.7523091394241295,9.762546474158646e-38
ANXA2,AACS,0.7521719963306306,0.7521719963306306,1.0234698520334477e-37
ACTG1,AAR2,0.7490182075434492,0.7490182075434492,3.006782277584287e-37
ACTB,AATF,0.7462628265786543,0.7462628265786543,7.609099245951367e-37
ALDOA,ABCB7,0.7452061939733636,0.7452061939733636,1.0828950330010032e-36
ACTB,ABCB8,0.7437634055344832,0.7437634055344832,1.7483570594969735e-36
B2M,ABC12-47964100C23.1,0.7433874026871848,0.7433874026871848,1.979789320668547e-36
AGPAT2,AARSD1,0.7426358189275044,0.7426358189275044,2.5366117830012728e-36
AGPAT2,A2MP1,0.742078773938342,0.742078773938342,3.046402973587712e-36
ADIPOQ,A2MP1,0.7414314973737279,0.7414314973737279,3.7665750650745386e-36
CD36,A2MP1,0.7405994076602428,0.7405994076602428,4.943285846297495e-36
ADIRF,ABCC6P1,0.739304600373102,0.739304600373102,7.530861781872768e-36
AKR1C2,AAAS,0.7368703557663143,0.7368703557663143,1.6505926150675855e-35
ACTG1,AATF,0.7352306436637038,0.7352306436637038,2.7866140635780434e-35
CD74,ABC9-43961700F1.1,0.7350150055953109,0.7350150055953109,2.9844283431298923e-35
CD36,AARSD1,0.7339944837883771,0.7339944837883771,4.124996145333545e-35
B2M,AATK-AS1,0.733850412099366,0.733850412099366,4.3173290875076365e-35
ACSL1,AARSD1,0.7322899324385771,0.7322899324385771,7.059289996190328e-35
AGPAT2,ABCC6P2,0.7306158867854566,0.7306158867854566,1.1917564131253905e-34
AKR1C2,ABCC6P2,0.7304333695714358,0.7304333695714358,1.261479535313234e-34
ALDOA,ABCA8,0.7296476640830798,0.7296476640830798,1.6104536584780085e-34
ADH1B,AARSD1,0.7274052822478588,0.7274052822478588,3.2183053081799432e-34
B2M,ABCD2,0.7270425871288043,0.7270425871288043,3.597324885763822e-34
ADIPOQ,AARSD1,0.7263979870731951,0.7263979870731951,4.382504551902399e-34
ADH1B,AADACL4,0.724168745620704,0.724168745620704,8.637194939304955e-34
ACTB,A4GALT,0.7231342566092207,0.7231342566092207,1.1806648194527488e-33
ACSL1,ABCC6P2,0.722323417186897,0.722323417186897,1.5069586778015117e-33
ACTB,ABCC1,0.7222444834061401,0.7222444834061401,1.543112884411178e-33
ADIPOQ,ABCC6P2,0.7207273006187078,0.7207273006187078,2.430045437656019e-33
ALDOA,ABCC6P2,0.7192460917854926,0.7192460917854926,3.774853585053408e-33
ALDH1A1,AAAS,0.7184937232304007,0.7184937232304007,4.716192666899809e-33
ADIRF,AARSD1,0.7183897738445075,0.7183897738445075,4.863242269485677e-33
CD36,ABCC6P2,0.7183052219199223,0.7183052219199223,4.9861757650926e-33
ADH1B,ABCC6P2,0.7171598656968834,0.7171598656968834,6.986193570140057e-33
ANXA2,ABCC6P2,0.7169669460507394,0.7169669460507394,7.393340130515177e-33
B2M,AADAC,0.7148032675924773,0.7148032675924773,1.3910543076050543e-32
AKR1C2,AAR2,0.7138738266962162,0.7138738266962162,1.8217101825415926e-32
ACTB,AAGAB,0.7130761183687039,0.7130761183687039,2.2942520215420768e-32
ALDOA,A2M,0.7127891051625657,0.7127891051625657,2.492272473264083e-32
ACTG1,AAMP,0.7118334367423081,0.7118334367423081,3.280920487086537e-32
AKR1C2,ABCA9,0.7099219605166911,0.7099219605166911,5.667085994592982e-32
ACTG1,ABC7-42404400C24.1,0.7098289359995251,0.7098289359995251,5.819186911313663e-32
ACTB,AAMP,0.7072127445928088,0.7072127445928088,1.2204120748820113e-31
ALDOA,AAGAB,0.7055986638540742,0.7055986638540742,1.9194805307666884e-31
AGPAT2,ABCB6,0.7050744801442265,0.7050744801442265,2.2221299950451057e-31
ALDOA,A4GALT,0.7041314229082878,0.7041314229082878,2.8894491643408197e-31
ANXA2,ABCC6,0.7036762267026223,0.7036762267026223,3.2787010657016702e-31
B2M,AARSD1,0.7025416591459798,0.7025416591459798,4.487996015887364e-31
ALDOA,AARS,0.7010502862091773,0.7010502862091773,6.765583701216797e-31
CD36,ABCB6,0.6996879094628142,0.6996879094628142,9.821489761946882e-31
AKR1C2,ABCB8,0.6994182257312794,0.6994182257312794,1.0570896948907684e-30
ACSL1,ABCB6,0.6989419354871982,0.6989419354871982,1.2034402277764531e-30
AKR1C2,ABCA10,0.697467124802261,0.697467124802261,1.7951176346962844e-30
ADH1B,A2MP1,0.6936262478304074,0.6936262478304074,5.0288198428886546e-30
ANXA2,A4GALT,0.6912531314759901,0.6912531314759901,9.427284168872049e-30
ANXA2,AAMDC,0.6904745520740855,0.6904745520740855,1.1570563784230103e-29
ADIPOQ,ABCB6,0.690407216798106,0.690407216798106,1.1777027474996994e-29
ADIRF,ABCC6P2,0.6896980516452942,0.6896980516452942,1.418421678506958e-29
AHNAK,AAK1,0.6874214859492485,0.6874214859492485,2.567626181027226e-29
ALDH1A1,ABCB8,0.6869561347020375,0.6869561347020375,2.896827086338104e-29
AGPAT2,AAMP,0.6861130284499909,0.6861130284499909,3.6024054176050355e-29
B2M,ABCC6,0.6849045217585161,0.6849045217585161,4.9173841381100934e-29
AHNAK,ABC14-864958H18.2,0.6816237970708086,0.6816237970708086,1.1358517793921344e-28
ACTG1,ABCB9,0.6796562976956311,0.6796562976956311,1.8668116934818281e-28
ALDOA,ABCA9,0.6796527488085993,0.6796527488085993,1.8684789229409961e-28
ANXA2,ABCA8,0.679289326516305,0.679289326516305,2.047201667519529e-28
ALDOA,ABCD4,0.6783042233743326,0.6783042233743326,2.6206620813276684e-28
ALDOA,ABCA10,0.6778474323620438,0.6778474323620438,2.9376576807202544e-28
ACSL1,AAMP,0.6774827500812649,0.6774827500812649,3.2175671284091492e-28
ANXA2,ABC12-47964100C23.1,0.6771139075710215,0.6771139075710215,3.527338132963593e-28
ALDOA,AATF,0.6764187143842673,0.6764187143842673,4.193044238344127e-28
B2M,AAMP,0.6760893771097857,0.6760893771097857,4.550161534709523e-28
ANXA2,ABCC3,0.6758803977144544,0.6758803977144544,4.792119448561119e-28
CD36,AAMP,0.6752563302872077,0.6752563302872077,5.592563937168351e-28
ANXA2,AADACP1,0.674200267085862,0.674200267085862,7.256996849742308e-28
ACTG1,ABCB10P1,0.6726279873843968,0.6726279873843968,1.0674415758611368e-27
ACTG1,ABCC10,0.6723644319393036,0.6723644319393036,1.1385059980619085e-27
ADH1B,ABCB6,0.6723550154810137,0.6723550154810137,1.1411293486561784e-27
B2M,AAR2,0.6718983741643539,0.6718983741643539,1.2757424087647334e-27
ACTB,AARSD1,0.6710739154710534,0.6710739154710534,1.5594834896820146e-27
AKR1C2,ABCC9,0.6700901301541474,0.6700901301541474,1.9801001588374484e-27
ACTB,ABCB7,0.6674595995242818,0.6674595995242818,3.732893407157168e-27
B2M,ABCA8,0.6668879408950962,0.6668879408950962,4.280701702956699e-27
ADIPOQ,AAMP,0.6665253980385251,0.6665253980385251,4.6683350539212564e-27
ACTB,AASDHPPT,0.6659591029237211,0.6659591029237211,5.343939990978155e-27
B2M,A4GALT,0.6656082927405177,0.6656082927405177,5.8097921020740156e-27
ANXA2,ABC7-42404400C24.1,0.6640225798132471,0.6640225798132471,8.4649832978985e-27
