TF,Target,Correlation
B2M,ABCC12,-0.0700395270452709
B2M,ABCA17P,0.15898881777168095
B2M,ABC13-48559800H2.2,-0.03190476564827235
B2M,AANAT,0.20186004864248083
B2M,ABC13-47488600E17.1,0.23730520340054334
B2M,AARS2,0.3339162494217882
B2M,ABCC9,0.6233626246505676
B2M,ABCC1,0.2839108300391089
B2M,AATF,0.5432925562343724
B2M,ABCB1,0.5272207656313131
B2M,AAMDC,0.7595355287028676
ALDH1A1,ABC14-864958H18.2,0.0013825325027309746
ALDH1A1,ABCB7,0.25473250990673046
ALDH1A1,AAK1,0.14157089079973398
ALDH1A1,ABCD4,0.2551276548686115
ALDH1A1,ABC7-42391500H16.4,0.01309454226000623
ALDH1A1,ABC12-47964100C23.1,0.04629739493508649
ALDH1A1,AADAT,0.4676341608070966
ALDH1A1,AADACL3,-0.0006422704075523983
ALDH1A1,AB019441.29,-0.01598054082804624
ALDH1A1,A2M,0.0274119378136009
ALDH1A1,ABCB10P3,-0.0013425704696982646
ALDH1A1,ABCA7,0.15063935902780987
ALDH1A1,AASS,-0.021123390990444735
ALDH1A1,ABCB8,0.6869561347020375
ALDH1A1,ABCC13,-0.015425080363427502
ALDH1A1,AARS,0.6079894848976031
ALDH1A1,ABCA8,0.03506001947311549
ALDH1A1,ABCB4,-0.010344145762723442
ALDH1A1,AASDH,0.10401571053622732
ALDH1A1,A4GALT,0.28218111400331564
ALDH1A1,ABCB6,0.5331897967063814
ALDH1A1,ABCC6P2,0.25287466096061323
ALDH1A1,ABCB10P1,0.8613113952069531
ALDH1A1,ABCB11,0.016134530851023274
ALDH1A1,ABCB10P4,-0.009096362035762081
ALDH1A1,ABCC11,0.4184357412458451
ALDH1A1,A1BG,0.08958033211752431
ALDH1A1,AAGAB,0.3378113957063741
ALDH1A1,AADACL4,0.03154098888334077
ALDH1A1,ABCB10,0.21818161962433655
ALDH1A1,AASDHPPT,0.2449457345006946
ALDH1A1,ABCD2,0.04008076702382413
ALDH1A1,ABCC5,0.2671622050887315
ALDH1A1,ABC13-48559800H2.1,0.36037121050361276
ALDH1A1,AAED1,0.10012904372570305
ALDH1A1,ABCA6,0.002193652059654822
ALDH1A1,ABCD3,0.15181470444422845
ALDH1A1,ABCD1,0.058661942078646154
