source,target,support_count,avg_score
AKR1C2,AADAC,3,0.7735271678086573
AKR1C2,ABCA4,3,0.48321210516556173
AKR1C2,ABCC11,3,0.46690098033151367
AKR1C2,ABC12-47964100C23.1,2,0.8438540228798423
AKR1C2,ABCC2,3,0.5479429968456909
AKR1C2,ABCB8,3,0.6146434271900515
AKR1C2,A2M,3,0.6751869839748252
AKR1C2,AASDH,3,0.3505117980083161
AKR1C2,ABCB10P1,2,0.43909321735882056
AKR1C2,ABCD4,3,0.47013757824981584
AKR1C2,ABCC6P2,3,0.6113773365427467
AKR1C2,ABCB9,3,0.33473041567818035
AKR1C2,ABCB1,3,0.38478285284946834
AKR1C2,ABCC1,3,0.4365554442302409
AKR1C2,ABCA8,3,0.6657102803909863
AKR1C2,ABCA2,3,0.3849341787827691
AKR1C2,ABCC10,3,0.39464281285513797
AKR1C2,ABCA1,3,0.40649581185602096
AKR1C2,ABCB10,3,0.35652857262756976
AKR1C2,ABCD3,3,0.4095676131754779
AKR1C2,AASDHPPT,3,0.33020084836514707
AKR1C2,AAMDC,3,0.6905235041390786
AKR1C2,AADACL4,2,0.5934229229096878
AKR1C2,ABCA10,3,0.6148403391070854
AHNAK,ABCA8,2,0.4107365133447593
AHNAK,ABCC10,3,0.6943887784661049
AHNAK,ABCB10,3,0.4977761339892683
AHNAK,ABCD3,3,0.5565413035413036
AHNAK,AASDHPPT,3,0.4470970244425477
AHNAK,ABC13-47488600E17.1,3,0.5934885910315972
AHNAK,AAED1,3,0.8870628674272124
AHNAK,ABCA10,3,0.6214024587603625
AHNAK,ABCA17P,3,0.43376058946895757
AHNAK,ABCC6,3,0.4919267435864676
AHNAK,ABCC13,3,0.43668447774069535
AHNAK,ABCB7,3,0.5206785886718873
AHNAK,ABCD1P5,2,0.42866362493096055
AHNAK,ABCB9,3,0.5756355892872352
AHNAK,AAGAB,3,0.46000442165202776
AHNAK,ABCB6,3,0.4958658205448953
AHNAK,A4GALT,3,0.6060745084388399
AHNAK,ABCD1,3,0.5843038958546649
AHNAK,AAK1,3,0.6885521261986828
AHNAK,ABCA1,3,0.6664540867052788
AHNAK,AACS,3,0.5606649652922641
AHNAK,ABCA6,3,0.7492179257475774
AHNAK,ABC14-864958H18.2,3,0.6391236569322658
AHNAK,AARS2,3,0.48863455377461174
AHNAK,AAMP,3,0.45085304846048285
AHNAK,ABCC9,3,0.5281054807539003
AHNAK,AASS,3,0.4536228638164728
AHNAK,A3GALT2,3,0.36172490147466907
AHNAK,ABCA7,3,0.44155990726284794
AHNAK,A1BG,3,0.563642276785978
AHNAK,ABCA11P,3,0.5680278862159817
AHNAK,AADACL3,3,0.45475175426722053
AHNAK,AAR2,3,0.5057618283340165
AHNAK,ABCA4,3,0.4027883692422987
AHNAK,ABCC11,3,0.6093428819913008
AHNAK,ABCB8,3,0.4839135746657403
AHNAK,ABCC5,3,0.5567137997729598
AHNAK,AASDH,3,0.679542744182509
AHNAK,A2MP1,3,0.3522715362940437
AHNAK,ABCA9,3,0.5817097344176759
AHNAK,ABCD4,3,0.5358437813288232
AHNAK,ABCC6P2,3,0.5140324790632967
AHNAK,ABCB4,3,0.5980093108712711
AHNAK,ABCA5,3,0.6221838063539754
ADIPOQ,AAR2,3,0.55451242673226
ADIPOQ,AADAC,3,0.7424009632331602
ADIPOQ,ABCA4,2,0.47706491099046333
ADIPOQ,ABCC11,3,0.41073953438702615
ADIPOQ,ABC12-47964100C23.1,2,0.9715295951113316
ADIPOQ,ABCB8,3,0.4715650353005627
ADIPOQ,A2M,2,0.9165177649983736
ADIPOQ,AASDH,3,0.42412152897107464
ADIPOQ,A2MP1,3,0.599167265692464
ADIPOQ,ABCD4,3,0.533010752609073
ADIPOQ,ABCC6P2,2,0.7207273006187078
ADIPOQ,ABCB1,2,0.4536787212462847
ADIPOQ,ABCA8,2,0.9360121525424406
ADIPOQ,ABCA1,3,0.38274169439690015
ADIPOQ,ABCD3,3,0.45278128015720326
ADIPOQ,AAMDC,3,0.879721849087344
ADIPOQ,AADACL4,2,0.6245938141025471
ADIPOQ,ABCA10,3,0.7735479185639121
ADIPOQ,ABCC6,3,0.8681640603968391
ADIPOQ,ABCB7,3,0.495720521000324
ADIPOQ,AAGAB,3,0.4098916780993493
ADIPOQ,ABCC6P1,2,0.7578866728500626
ADIPOQ,AADACL3,3,0.41537977816261545
ADIPOQ,ABCB6,3,0.6177907317736553
ADIPOQ,AATK-AS1,2,0.9423882651392564
ADIPOQ,A4GALT,3,0.4805350127388856
ADIPOQ,ABCD1,3,0.4392482513214579
ADIPOQ,ABCB11,2,0.4179706986930408
ADIPOQ,AACS,3,0.8033209590036252
ADIPOQ,ABCA6,3,0.44486865704956585
ADIPOQ,AAAS,3,0.49949590924176546
ADIPOQ,AAMP,3,0.6196181146233447
ADIPOQ,ABCC9,3,0.7242421597626848
ADIPOQ,ABCD2,2,0.9674119090502227
ADIPOQ,ABCA9,3,0.7792732364857163
ADIPOQ,AARSD1,3,0.6828941798444829
ADIPOQ,ABCA11P,3,0.46487409033573357
B2M,ABCB8,3,0.549347844318466
B2M,AASDH,3,0.600771987709345
B2M,ABCB7,3,0.6910845704093832
B2M,ABCC6P2,3,0.49454447348445624
B2M,ABCB1,3,0.5013365699645388
B2M,ABCB6,3,0.615178610798409
B2M,AATK-AS1,2,0.733850412099366
B2M,ABC9-43961700F1.1,2,0.3705270184137458
B2M,ABCA1,3,0.4764476133543963
B2M,ABCB10,3,0.5891849932293386
B2M,AARS2,3,0.45108882121773947
B2M,ABCC9,3,0.5784981288303405
B2M,AAED1,3,0.5252135211813779
B2M,AAMDC,3,0.7658742798792669
B2M,AADACL4,2,0.5954795609890073
